# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-12-19 18:49:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1058755528 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0-172-g8d78669
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.885972
# Diagonal elements of inverse mass matrix:
# 0.492229
-7.8199278,0.95065213,0.88597205,2,7,0,7.8722229,0.45447812
-6.7505433,1,0.88597205,1,3,0,7.7746655,0.25894611
-6.7505433,0.73322012,0.88597205,2,7,0,8.4789811,0.25894611
-6.7703983,0.99772683,0.88597205,2,3,0,6.7703984,0.22419816
-6.7754125,0.99156927,0.88597205,1,3,0,6.8422876,0.27998818
-6.8007791,0.83296381,0.88597205,2,3,0,7.9683245,0.21093351
-7.2337325,0.93183023,0.88597205,1,3,0,7.3015191,0.14203882
-7.1710646,1,0.88597205,1,1,0,7.2767307,0.14821497
-7.0825477,1,0.88597205,1,1,0,7.1907872,0.15808567
-9.087003,0.8921699,0.88597205,2,3,0,9.1158966,0.55725195
-7.5649216,1,0.88597205,1,1,0,8.6948153,0.42702094
-6.7790564,1,0.88597205,2,3,0,7.4693108,0.21975277
-6.7497728,0.99976899,0.88597205,2,3,0,6.7809966,0.24265165
-7.1552348,0.91149704,0.88597205,1,3,0,7.2980983,0.37227332
-6.7527283,0.98725136,0.88597205,1,3,0,7.2395835,0.23800505
-6.7605412,0.97895841,0.88597205,2,3,0,6.9147551,0.27011834
-6.7806897,0.98880276,0.88597205,1,3,0,6.8354163,0.21899176
